nodeId,name,tree,spellId,maxRanks,isChoice,tier,handlerStatus,posX,posY
71931,Fel Domination,class,333889,1,False,C,UNCLASSIFIED,3000,1200
71933,Soul Leech,class,108370,1,False,A,UNCLASSIFIED,4200,1200
71949,Burning Rush,class,111400,1,False,C,UNCLASSIFIED,5400,1200
71932,Fel Pact,class,386113,1,False,C,UNCLASSIFIED,3000,1800
71952,Demon Skin,class,219272,2,False,C,UNCLASSIFIED,3600,1800
71950,Fel Armor,class,386124,2,False,C,UNCLASSIFIED,4800,1800
71948,Fiendish Stride,class,386110,1,False,C,UNCLASSIFIED,5400,1800
71930,Demonic Embrace,class,288843,1,False,C,UNCLASSIFIED,3000,2400
71916,Nightmare,class,386648,1,True,C,UNCLASSIFIED,4200,2400
71922,Demonic Fortitude,class,386617,1,False,C,UNCLASSIFIED,5400,2400
71944,Banish,class,710,1,False,C,UNCLASSIFIED,2400,3000
109847,Curse of Exhaustion,class,334275,1,False,C,UNCLASSIFIED,3600,3000
109846,Curse of Tongues,class,1714,1,False,C,UNCLASSIFIED,4800,3000
109844,Infernal Beneficiary,class,1265810,1,False,C,UNCLASSIFIED,5400,3000
71942,Mortal Coil,class,6789,1,False,C,UNCLASSIFIED,6000,3000
110071,Pact of the Annihilan,class,1270693,1,False,C,UNCLASSIFIED,3000,3600
100941,Demonic Circle,class,268358,1,False,C,UNCLASSIFIED,4200,3600
110072,Pact of the Satyr,class,1270691,1,False,C,UNCLASSIFIED,5400,3600
109845,Improved Mortal Coil,class,1265816,1,False,C,UNCLASSIFIED,6000,3600
71936,Dark Pact,class,108416,1,False,C,UNCLASSIFIED,2400,4200
109840,Foul Mouth,class,1265813,1,False,C,UNCLASSIFIED,3000,4200
110075,Empowered Healthstone,class,1271699,1,False,C,UNCLASSIFIED,3600,4200
71954,Abyss Walker,class,389609,1,False,C,UNCLASSIFIED,4200,4200
110074,Fortified Soul,class,1271694,1,False,C,UNCLASSIFIED,4800,4200
71938,Teachings of the Black Harvest,class,385881,1,False,C,UNCLASSIFIED,5400,4200
71923,Gorefiend's Avarice,class,1270701,1,False,C,UNCLASSIFIED,6000,4200
